epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,534.335,0.67482,1.35069,1.26422,0.82641,0.77116,0.8511,0.70547,0.68278,0.80176,1.41128,1.26474e-05,1.26474e-05,1.26474e-05
2,1069.95,0.67436,1.34171,1.26386,0.81101,0.77258,0.84583,0.69824,0.6906,0.81531,1.42303,2.43116e-05,2.43116e-05,2.43116e-05
3,1603.05,0.6664,1.33204,1.25623,0.80778,0.76776,0.84115,0.69318,0.70042,0.83694,1.4315,3.49726e-05,3.49726e-05,3.49726e-05
4,2135.59,0.67152,1.35034,1.26052,0.80008,0.7618,0.83341,0.68462,0.70167,0.84881,1.44184,3.34856e-05,3.34856e-05,3.34856e-05
5,2667.84,0.67011,1.34949,1.26072,0.8107,0.75247,0.83838,0.6893,0.70276,0.83974,1.43257,3.19808e-05,3.19808e-05,3.19808e-05
6,3200.27,0.66797,1.31341,1.25819,0.79691,0.76265,0.83406,0.68482,0.70618,0.85652,1.43702,3.0476e-05,3.0476e-05,3.0476e-05
7,3732.04,0.6735,1.33512,1.26159,0.80902,0.7495,0.8355,0.68747,0.70346,0.84886,1.4391,2.89712e-05,2.89712e-05,2.89712e-05
8,4264.06,0.66381,1.30129,1.25669,0.81039,0.75453,0.83486,0.68435,0.71397,0.84161,1.44745,2.74664e-05,2.74664e-05,2.74664e-05
9,4795.91,0.65568,1.29501,1.24783,0.81414,0.74815,0.83327,0.68352,0.71086,0.84756,1.44949,2.59616e-05,2.59616e-05,2.59616e-05
10,5327.55,0.65481,1.27754,1.25082,0.79501,0.76323,0.83294,0.68326,0.71081,0.85147,1.44887,2.44568e-05,2.44568e-05,2.44568e-05
11,5858.99,0.65871,1.26529,1.25185,0.81772,0.73811,0.82981,0.68102,0.71009,0.84919,1.44774,2.2952e-05,2.2952e-05,2.2952e-05
12,6391.01,0.65952,1.26577,1.24814,0.80326,0.75016,0.83114,0.68151,0.71004,0.84791,1.45006,2.14472e-05,2.14472e-05,2.14472e-05
13,6923.17,0.65769,1.26001,1.24869,0.81586,0.74989,0.83386,0.68493,0.70784,0.84372,1.4427,1.99424e-05,1.99424e-05,1.99424e-05
14,7455.29,0.65197,1.23442,1.24771,0.80587,0.75942,0.83409,0.68465,0.71026,0.8416,1.44449,1.84376e-05,1.84376e-05,1.84376e-05
15,7987.47,0.65153,1.21884,1.24866,0.81272,0.75617,0.83596,0.68575,0.70934,0.83586,1.44952,1.69328e-05,1.69328e-05,1.69328e-05
16,8518.25,0.52879,0.84353,1.30691,0.77239,0.76759,0.83189,0.68127,0.71179,0.84566,1.45041,1.5428e-05,1.5428e-05,1.5428e-05
17,9047.94,0.51538,0.79598,1.28906,0.80946,0.75323,0.83546,0.68413,0.71252,0.83702,1.44851,1.39232e-05,1.39232e-05,1.39232e-05
18,9578.16,0.51303,0.7922,1.28755,0.80334,0.75813,0.8362,0.68648,0.71075,0.83143,1.44969,1.24184e-05,1.24184e-05,1.24184e-05
19,10107.9,0.51387,0.776,1.28785,0.80501,0.75962,0.83631,0.68633,0.71236,0.83157,1.44992,1.09136e-05,1.09136e-05,1.09136e-05
20,10637.2,0.50438,0.75805,1.28015,0.79898,0.76203,0.83648,0.68665,0.70974,0.83398,1.45226,9.4088e-06,9.4088e-06,9.4088e-06
21,11167.4,0.50124,0.75189,1.27892,0.79639,0.76657,0.83799,0.6864,0.71036,0.8289,1.44911,7.904e-06,7.904e-06,7.904e-06
